ID_Codigo;ID;Anexo;Titulo_Anexo;Item_Anexo;Descritivo;Tratamento;Perc_Reducao;Perc_Aliquota_Aplicavel;Tributo;Tipo_Classificacao;Codigo;Codigo_Normalizado;Nivel_Codigo;Base_Legal;Linha_Agrupadora;Condicionantes_Observacoes
904;721;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;252;OLAPARIBE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
905;722;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;253;OLARATUMABE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
906;723;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;254;ONASEMNOGENO ABEPARVOVEQUE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.90.00;30029000;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
907;724;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;255;OXALIPLATINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.99;30049099;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
908;725;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;256;PACLITAXEL;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.59;30049059;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
909;726;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;257;PALBOCICLIBE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.69;30049069;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
910;727;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;258;PAMIDRONATO DISSÓDICO;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.59;30049059;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
911;728;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;259;PAMOATO DE PASIREOTIDA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.39.29;30043929;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
912;729;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;260;PANCREATINA;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.19;30049019;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
913;730;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;261;PANITUMUMABE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
914;731;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;262;PEG INTERFERON ALFA-2B;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
915;732;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;263;PEG INTERFERON ALFA-2A;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.10;30021510;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
916;733;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;264;PEGASPARGASE;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3004.90.19;30049019;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
917;734;XIV;Medicamentos submetidos a reducao a zero - ANEXO REVOGADO pela Lei Complementar n. 227, de 13/01/2026;265;PEGFILGRASTIM;Revogado;100.0;0.0;IBS e CBS;NCM/SH;3002.15.90;30021590;8 digitos (item completo);Art. 146 (redacao original);Nao;ANEXO REVOGADO. A LC 227/2026 substituiu a lista por criterio de finalidade terapeutica no art. 146: doencas raras, doencas negligenciadas, oncologia, diabetes, HIV/aids e outras IST, doencas cardiovasculares e Programa Farmacia Popular. Mantido aqui apenas para historico e transicao
